词语,拼音,频序号
阿爸,ābà,18359
哀戚,āiqī,47355
矮胖,ǎipàng,28213
阿昌族,āchāngzú,51585
哀泣,āiqì,44998
矮小,ǎixiǎo,16486
阿斗,ādǒu,43271
哀求,āiqiú,12102
矮子,ǎizi,22732
阿飞,āfēi,49327
哀伤,āishāng,20013
艾,ài,9307
阿富汗,āfùhàn,3465
哀思,āisī,24290
艾蒿,àihāo,37119
阿訇,āhōng,34925
哀叹,āitàn,26870
艾窝窝,àiwōwo,56336
阿拉伯数字,ālābóshùzì,36453
哀恸,āitòng,47066
艾滋病,àizībìng,3431
阿拉伯语,ālābóyǔ,30907
哀痛,āitòng,28212
唉,ài,4127
阿妈,āmā,16411
哀婉,āiwǎn,33178
爱,ài,323
阿门,āmén,48618
哀怨,āiyuàn,23510
爱不释手,àibùshìshǒu,25271
阿Q,āQ,21112
哀乐,āiyuè,20867
爱财如命,àicáirúmìng,54886
阿司匹林,āsīpǐlín,40900
埃及,āijí,3127
爱巢,àicháo,36142
阿嚏,ātì,55409
挨,āi,4450
爱称,àichēng,47356
阿姨,āyí,6888
挨边儿,āibiānr,54347
爱搭不理,àidābùlǐ,53348
啊,ā,16281
挨次,āicì,41560
爱戴,àidài,11820
啊呀,āya,15601
挨个儿,āigèr,43008
爱抚,àifǔ,19569
啊哟,āyo,24222
挨家挨户,āijiāāihù,18119
爱国,àiguó,2337
啊,á,29092
挨肩儿,āijiānr,47673
爱国主义,àiguózhǔyì,4001
啊,ǎ,18512
挨近,āijìn,26961
爱好,àihào,5517
啊,à,5539
唉,āi,7531
爱河,àihé,37472
啊,a,1176
唉声叹气,āishēngtànqì,25210
爱护,àihù,5892
哎,āi,5522
挨,ái,4752
爱将,àijiàng,35410
哎呀,āiyā,8526
挨饿,ái'è,16557
爱克斯光,àikèsīguāng,55852
哎哟,āiyō,11925
挨批,áipī,35409
爱怜,àilián,23606
哀兵必胜,āibīngbìshèng,53858
挨整,áizhěng,38023
爱恋,àiliàn,22546
哀愁,āichóu,26033
挨揍,áizòu,37471
爱侣,àilǚ,32690
哀悼,āidào,8155
皑皑,ái'ái,28993
爱美,àiměi,21488
哀告,āigào,36943
癌,ái,10889
爱面子,àimiànzi,31919
哀歌,āigē,41115
癌变,áibiàn,35831
爱莫能助,àimònéngzhù,32035
哀号,āiháo,30019
癌细胞,áixìbāo,19389
爱慕,àimù,18778
哀嚎,āiháo,45879
癌症,áizhèng,6777
爱女,àinǚ,30126
哀叫,āijiào,35538
癌肿,áizhǒng,44748
爱情,àiqíng,2002
哀哭,āikū,42017
嗳,ǎi,9453
爱人,àiren,5544
哀怜,āilián,35539
矮,ǎi,5289
爱神,àishén,30786
哀鸣,āimíng,28470
矮墩墩,ǎidūndūn,53859
爱屋及乌,àiwūjíwū,47989
爱惜,àixī,15153
安培,ānpéi,22953
氨基酸,ānjīsuān,15625
爱心,àixīn,4364
安贫乐道,ānpínlèdào,47674
氨气,ānqì,42259
爱憎,àizēng,24878
安琪儿,ānqí'ér,38765
氨水,ānshuǐ,35070
爱憎分明,àizēngfēnmíng,33551
安寝,ānqǐn,45000
庵,ān,12232
隘口,àikǒu,40035
安全,ānquán,709
庵堂,āntáng,46776
碍,ài,10670
安全带,ānquándài,20047
谙练,ānliàn,56337
碍口,àikǒu,55410
安全岛,ānquándǎo,49719
谙熟,ānshú,37298
碍难,àinán,49718
安全阀,ānquánfá,48972
鹌鹑,ānchún,29700
碍事,àishì,25153
安全感,ānquángǎn,11976
鞍马,ānmǎ,26379
碍手碍脚,àishǒuàijiǎo,46181
安全帽,ānquánmào,30564
鞍马劳顿,ānmǎláodùn,49328
碍眼,àiyǎn,44497
安全门,ānquánmén,43009
